 ,Area,Mean,StdDev,Min,Max,Angle,Length
101,0.034,45704.656,5356.663,34502.969,58581.168,-47.121,1.127
102,0.028,46842.622,5627.718,30782.033,57245.957,39.806,0.922
103,0.052,47899.554,4745.966,39463.000,56932.195,99.782,1.736
104,0.029,48904.274,9340.263,33578.340,63546.809,161.565,0.933
105,0.121,40311.010,6546.864,24198.789,55818.383,100.008,4.074
106,0.090,44510.128,10381.364,280.221,59788.812,136.591,3.005
107,0.057,44895.708,4897.203,31777.283,54186.242,106.189,1.905
108,0.048,44161.716,4647.810,27993.000,52008.789,121.329,1.589
109,0.037,43007.609,4497.847,33854.000,53880.000,125.218,1.228
110,0.070,29163.814,15723.742,15.150,52699.812,112.068,2.356
111,0.042,42063.964,5880.622,29282.723,53609.359,115.463,1.372
112,0.031,45210.471,7516.285,29221.818,54248.898,137.291,1.044
113,0.043,45562.330,5472.196,30721.000,55189.750,123.024,1.407
114,0.023,36273.250,9225.175,21239.951,52095.000,75.964,0.730
115,0.035,35364.143,9608.505,7373.369,47560.738,101.889,1.146
116,0.057,40219.000,9635.609,20161.000,64222.000,0.000,1.888
117,0.067,41704.654,7628.006,17626.525,57861.449,94.514,2.249
118,0.081,31794.459,13596.675,377.193,51627.062,145.620,2.717
119,0.048,43315.323,6237.426,29955.127,56413.555,164.932,1.589
120,0.057,40892.980,6099.963,28665.977,51837.062,117.350,1.926
121,0.038,46588.042,6406.696,30636.832,56153.570,123.690,1.276
122,0.090,42464.128,5350.305,27980.158,55908.410,118.072,3.009
123,0.076,35904.278,5539.070,21570.793,46516.641,24.775,2.534
124,0.063,42406.731,12830.680,0.000,59091.348,-47.291,2.088
125,0.064,45261.927,5863.506,25115.186,55054.965,46.123,2.128
126,0.038,49225.936,4828.980,38856.000,57438.375,76.608,1.274
127,0.034,45385.625,4546.033,34407.051,57655.527,86.987,1.123
128,0.015,41579.265,5927.385,28971.750,50434.000,97.125,0.476
129,0.054,37457.677,4573.882,28500.646,48656.523,109.026,1.810
130,0.053,38351.906,9438.600,14766.584,53900.172,129.560,1.760
131,0.067,42677.494,7896.911,21525.000,57400.000,0.000,2.242
132,0.050,39765.150,5105.828,29939.127,50068.570,-27.474,1.663
133,0.013,33658.333,5945.941,24455.000,43656.000,0.000,0.413
134,0.026,35971.770,5434.038,22940.000,45247.594,102.095,0.845
135,0.018,33585.352,9287.770,18008.000,47274.398,-174.289,0.593
